kill,2023-03-19 16:46:46.234378

kill,2023-03-19 16:46:59.170775

death,2023-03-19 16:47:27.562246

death,2023-03-19 16:48:28.876634

kill,2023-03-19 16:51:03.201000

kill,2023-03-19 16:51:36.279113

death,2023-03-19 16:53:04.526349

kill,2023-03-19 16:54:35.360051

death,2023-03-19 16:54:47.611386

kill,2023-03-19 16:55:52.094113

kill,2023-03-19 16:56:10.842166

kill,2023-03-19 16:56:16.602416

death,2023-03-19 16:56:25.327331

kill,2023-03-19 16:57:25.656234

death,2023-03-19 16:58:17.403025

kill,2023-03-19 16:59:24.233297

death,2023-03-19 16:59:36.122710

death,2023-03-19 17:00:51.967275

kill,2023-03-19 17:02:05.953624

kill,2023-03-19 17:02:59.013497

death,2023-03-19 17:03:20.778968

kill,2023-03-19 17:05:09.250215

kill,2023-03-19 17:05:14.999209

death,2023-03-19 17:06:11.246007

kill,2023-03-19 17:07:24.075806

kill,2023-03-19 17:07:37.812604

death,2023-03-19 17:09:02.060120

death,2023-03-19 17:10:16.732496

kill,2023-03-19 17:11:49.218945

kill,2023-03-19 17:12:06.123242

kill,2023-03-19 17:12:14.386678

kill,2023-03-19 17:12:21.124408

death,2023-03-19 17:14:00.386734

death,2023-03-19 17:15:22.341680

kill,2023-03-19 17:17:02.686714

death,2023-03-19 17:17:37.765299

kill,2023-03-19 17:19:09.228778

kill,2023-03-19 17:19:24.311723

kill,2023-03-19 17:20:59.560899

kill,2023-03-19 17:21:05.654259

death,2023-03-19 17:21:16.562232

death,2023-03-19 17:22:30.040830

kill,2023-03-19 17:23:29.045225

death,2023-03-19 17:23:46.118940

