death,2023-03-10 23:39:48.894798

death,2023-03-10 23:40:48.866568

death,2023-03-10 23:42:20.866390

death,2023-03-10 23:43:28.850683

kill,2023-03-10 23:45:14.817288

death,2023-03-10 23:46:14.238373

death,2023-03-10 23:47:41.395600

death,2023-03-10 23:48:51.205042

death,2023-03-10 23:50:30.695588

death,2023-03-10 23:52:10.672185

kill,2023-03-10 23:53:35.497292

death,2023-03-10 23:53:43.225565

kill,2023-03-10 23:55:00.891175

kill,2023-03-10 23:57:02.954293

kill,2023-03-10 23:57:11.067087

kill,2023-03-10 23:57:18.460845

death,2023-03-10 23:58:32.891130

death,2023-03-10 23:59:56.206123

death,2023-03-11 00:00:59.364040

kill,2023-03-11 00:02:50.489131

death,2023-03-11 00:02:57.100285

death,2023-03-11 00:04:19.908834

death,2023-03-11 00:05:19.731900

death,2023-03-11 00:06:31.863259

