kill,2023-03-10 13:17:42.094085

death,2023-03-10 13:17:53.037881

death,2023-03-10 13:20:30.677664

death,2023-03-10 13:21:43.975876

kill,2023-03-10 13:22:44.312970

death,2023-03-10 13:23:16.726608

death,2023-03-10 13:24:30.039243

death,2023-03-10 13:26:07.520200

death,2023-03-10 13:28:06.852957

kill,2023-03-10 13:29:28.826707

death,2023-03-10 13:29:36.581097

kill,2023-03-10 13:30:44.896588

kill,2023-03-10 13:31:04.317531

kill,2023-03-10 13:32:41.381624

kill,2023-03-10 13:32:49.820625

kill,2023-03-10 13:33:05.068821

kill,2023-03-10 13:33:19.458249

kill,2023-03-10 13:34:28.896792

kill,2023-03-10 13:34:53.630276

kill,2023-03-10 13:35:44.568715

kill,2023-03-10 13:36:06.146332

kill,2023-03-10 13:36:11.898688

kill,2023-03-10 13:37:58.987833

kill,2023-03-10 13:38:04.722863

death,2023-03-10 13:38:11.639781

death,2023-03-10 13:39:15.773610

kill,2023-03-10 13:40:59.098575

death,2023-03-10 13:41:05.678416

kill,2023-03-10 13:42:54.330731

kill,2023-03-10 13:43:00.084463

death,2023-03-10 13:44:15.171111

kill,2023-03-10 13:47:08.492422

death,2023-03-10 13:47:36.238934

death,2023-03-10 13:49:02.050891

kill,2023-03-10 13:50:47.362462

kill,2023-03-10 13:51:03.630778

kill,2023-03-10 13:51:11.052456

kill,2023-03-10 13:52:39.802538

kill,2023-03-10 13:53:41.700969

kill,2023-03-10 13:54:56.616963

death,2023-03-10 13:55:22.709930

kill,2023-03-10 13:56:40.521882

death,2023-03-10 13:57:11.611003

kill,2023-03-10 13:58:32.756954

death,2023-03-10 13:58:39.352307

kill,2023-03-10 13:59:58.643318

kill,2023-03-10 14:00:48.083294

kill,2023-03-10 14:01:59.973292

kill,2023-03-10 14:02:37.236795

death,2023-03-10 14:02:43.829791

