,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,332.4143541145799,1988.0715705765408,828.0249514612931,221,764,0.338803,0.338803,0.338803,0.0
1,death_10,795.0171913193423,5958.291956305859,646.2444128957054,478,270,0.0,0.0,0.0,1.936024
2,death_11,728.054606381432,6081.3031926315,653.5838231924705,460,294,0.0,0.0,0.0,1.998243
3,death_12,1605.898547754552,10204.081632653062,1682.8499686429777,1024,983,1.6818,1.6818,1.6818,1.9139490000000001
4,death_13,58.7679413502318,1001.0010010010009,23.142135623730955,19,10,0.0,0.0,0.0,1.9590779999999999
5,death_2,1445.2401632058081,11969.77592325278,1335.8886323877273,1236,183,0.004059,0.004059,0.004059,0.700552
6,death_3,2363.2767481759874,25942.695143916975,3239.3710844210555,2621,1402,1.384442,1.384442,1.384442,1.384442
7,death_4,3304.6360816990714,60750.7043399701,2652.709140799378,2155,1046,0.632894,0.632894,0.632894,0.614013
8,death_5,1203.1284120158978,4436.642812499583,1681.5336789788146,831,1151,0.512964,0.512964,0.512964,1.498009
9,death_6,3093.4911309472095,36833.01652812904,3132.148748439734,2990,403,1.593386,1.593386,1.593386,1.454121
10,death_7,63.93763870928343,94.95774380400721,4.0,4,0,0.0,0.0,0.0,0.0
11,death_8,516.0248231340502,1417.047657688472,25.242640687119284,17,10,0.0,0.0,0.0,0.0
12,death_9,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.181694
13,kill_1,3182.9028888298344,20024.98439450079,4588.088730726275,4294,665,1.165295,1.165295,1.165295,1.966915
14,kill_10,479.24547331012093,4476.6125675671465,160.41246926943953,122,74,0.0,0.0,0.0,1.976956
15,kill_11,3354.4892899134643,61143.9842209073,5054.604712785458,4506,1168,0.180125,0.180125,0.180125,1.9780609999999998
16,kill_12,2073.6791259723477,38370.29635311885,2394.249542996124,2042,737,0.0,0.0,0.0,1.2628949999999999
17,kill_13,1414.858374607754,9046.33879933808,2122.330129339521,1527,950,0.249796,0.249796,0.249796,1.713625
18,kill_14,5454.741342316159,47565.988710749756,4014.3260786114606,3853,539,0.0,0.0,0.0,1.9338389999999999
19,kill_15,1784.1541370544578,42500.115957121176,2521.697027574681,1616,1439,1.364568,1.364568,1.364568,1.826608
20,kill_16,2642.0868501209193,39801.48760839956,3311.2873794050547,2683,1127,0.0,0.0,0.0,1.693482
21,kill_17,1443.191596381562,25253.813613805272,1941.893309974278,1488,748,0.17742,0.17742,0.17742,1.466188
22,kill_2,2114.690216773873,27777.777777777777,2526.3867753783506,2247,524,0.0,0.0,0.0,1.52738
23,kill_3,1279.2873957787174,8205.18532461226,2028.4513455391368,1760,507,0.717017,0.717017,0.717017,0.735549
24,kill_4,2998.188409091906,73932.82362468887,4133.740622321704,3659,993,0.038125,0.038125,0.038125,1.138389
25,kill_5,100.49617242860894,999.0009990009991,13.0,6,7,0.0,0.0,0.0,0.0
26,kill_6,2604.506137334187,22002.71118961606,2862.8655656050237,2560,679,1.6155650000000001,1.6155650000000001,1.6155650000000001,1.999641
27,kill_7,2488.412606579845,31871.211812885485,3853.7033524882886,3317,1278,0.48491,0.48491,0.48491,1.377915
28,kill_8,553.9188260621265,2238.3062837835732,372.57735621614756,142,258,0.0,0.0,0.0,1.6897980000000001
29,kill_9,4757.068611172398,94672.5563496933,7325.040392110206,6941,1058,0.0,0.0,0.0,1.437351
