,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,1209.3694973403003,12731.568644731813,1415.7982169830143,987,849,0.366687,0.366687,0.366687,0.0
1,death_2,2159.722165556504,13336.389527831749,2713.679970633857,2190,1046,0.0,0.0,0.0,0.0
2,death_3,1308.7047144406758,8000.0,1534.2597980259247,1276,463,0.0,0.0,0.0,0.0
3,death_4,1652.6932939602332,361774.9453888579,2002.4789929726564,1522,1081,0.776659,0.776659,0.776659,1.987071
4,kill_1,1844.1360594334353,15080.738823492888,1640.3920892193098,1220,782,0.782445,0.782445,0.782445,1.9947789999999999
5,kill_2,1937.6929438904317,47192.18919239416,2876.449021957041,2630,536,0.0,0.0,0.0,1.988114
6,kill_3,4924.685655231486,82242.25021923846,5364.519934372527,5120,760,0.0,0.0,0.0,1.619394
7,kill_4,1729.6184424816736,30594.11708155671,2759.389548360537,1996,1243,0.002,0.002,0.002,1.70838
8,kill_5,3197.7347477316052,45807.128494504745,3687.608168923658,3077,944,1.161753,1.161753,1.161753,1.928558
