,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,733.0490184482156,2970.29702970297,947.6505716216602,748,235,1.905112,1.905112,1.905112,1.804294
1,death_10,894.7923584145365,7302.015937091793,1121.0475487119159,510,798,1.126613,1.126613,1.126613,1.8888
2,death_11,344.03060755976765,1996.007984031936,230.07106781186548,76,157,0.0,0.0,0.0,0.451968
3,death_2,1767.7803345821892,30137.21088313983,3055.068338799896,2872,335,1.6902059999999999,1.6902059999999999,1.6902059999999999,1.607535
4,death_4,660.3864466267258,3976.1431411530816,472.6014773360284,352,170,0.513547,0.513547,0.513547,0.908974
5,death_5,2511.911729599877,37448.65537130285,3418.3401156122463,2504,1502,0.735744,0.735744,0.735744,1.751337
6,death_6,876.45223082976,29293.70750966682,1326.4777796111389,747,738,1.12708,1.12708,1.12708,1.00477
7,death_7,2251.183935483039,25155.33842323862,3338.282828814684,2798,1034,1.636932,1.636932,1.636932,1.9892189999999998
8,death_8,1411.7334633924313,9091.752146724315,2019.324926897923,1814,493,0.481056,0.481056,0.481056,1.437354
9,death_9,2863.1112866913754,33269.159690323075,2630.1834195581723,2295,638,0.335358,0.335358,0.335358,1.7722799999999999
10,kill_1,1825.3234017036075,32191.20389936024,2818.2808045513675,2376,756,0.026286,0.026286,0.026286,1.488441
12,kill_11,4715.162626536907,65955.43705791532,6893.00517089389,5770,2534,1.280704,1.280704,1.280704,1.867668
13,kill_12,1046.4542909099182,5611.958580845616,1412.3128301004565,746,887,0.913622,0.913622,0.913622,1.733991
14,kill_13,2154.946577390398,18074.62103420642,3085.885952691768,2559,818,0.92813,0.92813,0.92813,1.998947
16,kill_15,1530.6079982985475,15984.015984015985,1235.96981241888,1059,316,0.959678,0.959678,0.959678,1.157669
17,kill_16,4115.439952225667,78214.09918591795,6588.163974687438,6088,1081,1.170337,1.170337,1.170337,1.871258
18,kill_17,1943.6663512322082,61060.10533690842,3103.2066246355203,2050,1635,0.037632,0.037632,0.037632,1.288954
19,kill_18,3120.0371119718316,24282.485150891094,4718.340470857907,3918,1567,1.5675,1.5675,1.5675,1.5993659999999998
20,kill_19,901.2366654919575,5020.080321285141,315.0835768358894,111,245,0.0,0.0,0.0,0.0
21,kill_2,7180.711204158287,73466.55998888661,11502.715472270682,10928,1769,0.580102,0.580102,0.580102,1.520031
22,kill_20,433.0899886681944,2008.0321285140565,37.82842712474619,36,3,0.0,0.0,0.0,0.0
23,kill_3,1475.90715130135,9980.03992015968,2444.205387111502,904,2035,0.502784,0.502784,0.502784,1.512097
24,kill_4,1490.3633850742865,9027.081243731192,2534.8112302620166,2316,359,1.332117,1.332117,1.332117,1.980731
25,kill_5,1532.2762155156693,25742.574257425742,2152.490985746942,1779,567,0.0,0.0,0.0,1.837837
26,kill_6,1967.3858547388281,33730.15873015873,3036.4381532472803,2705,556,1.801193,1.801193,1.801193,1.9117229999999998
28,kill_8,3132.2065610879836,31871.211812885485,2596.33005506702,2192,762,0.363838,0.363838,0.363838,1.031186
29,kill_9,1698.4364642639532,25120.473902001617,2764.4123760811835,2321,648,1.077749,1.077749,1.077749,1.9798740000000001
