,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,2206.826435394865,24066.44103969716,3045.8846857221915,2703,704,1.364184,1.364184,1.364184,1.774571
1,death_10,1005.2379703932438,14940.239043824702,1263.9316522620052,1081,299,0,0,0,1.2789519999999999
2,death_11,751.044471494833,4472.13595499958,88.05467168432025,70,31,0,0,0,0.0
3,death_12,1562.6109904474893,7000.0,1411.6470081564537,907,675,1.22039,1.22039,1.22039,1.980334
4,death_13,2127.363616873941,13615.085594329772,2226.897436558934,1096,1707,0.1433,0.1433,0.1433,0.136376
5,death_15,298.4716015549986,1001.0010010010009,63.41421356237309,13,51,0,0,0,0.0
6,death_16,2525.89451329867,71863.2176742303,3768.7949466322384,3258,768,0.529679,0.529679,0.529679,0.390673
7,death_17,1309.075344694064,8351.654895904105,1508.4229911036355,848,990,0.0,0.0,0.0,0.0
8,death_2,315.7744665009108,997.0089730807578,15.414213562373096,7,9,0,0,0,0.240121
9,death_3,2715.7555049124053,18148.70956160017,3502.564221817468,2604,1429,1.034775,1.034775,1.034775,1.617458
10,death_4,1606.0515641863876,463279.1062759533,2125.147773053551,1453,1073,0.0,0.0,0.0,1.953576
11,death_5,1134.311682239868,4995.004995004995,1762.6961267031334,1651,283,0.0,0.0,0.0,1.337679
12,death_6,0.0,0.0,0.0,0,0,1.1855120000000001,1.1855120000000001,1.1855120000000001,0.0
13,death_7,1580.1068332911711,51792.828685258966,2087.1884248782244,1649,703,1.190454,1.190454,1.190454,1.848782
14,death_8,1583.2960633662196,13986.013986013986,2018.7593713943786,1801,383,0,0,0,1.987894
15,death_9,988.9140943308004,5952.380952380952,1428.5690622948025,748,882,0.0,0.0,0.0,0.553138
16,kill_1,3387.3368333896337,53688.05417868033,4101.369659054394,3635,1154,0,0,0,1.998307
17,kill_10,1220.3085147427244,7905.138339920948,2261.959486408819,1742,787,0,0,0,1.9722870000000001
18,kill_11,2338.1613514289343,16015.204337543855,3806.4096078131465,1568,2899,0,0,0,1.7298719999999999
19,kill_12,1201.0519759827614,7920.79207920792,1938.0962971493834,1389,843,0.788455,0.788455,0.788455,1.66143
20,kill_13,2658.326113805863,256337.13560800496,4207.502046705642,3855,925,0.0,0.0,0.0,1.998879
21,kill_2,1747.4562328563395,25712.973861329003,2377.4465438654934,1808,866,0.780379,0.780379,0.780379,1.707177
22,kill_3,1327.4662364444773,5952.380952380952,2205.9889586997233,1054,1682,0.0,0.0,0.0,1.2875809999999999
23,kill_4,991.3598833942407,5567.769930602737,1314.6155203773346,795,726,0.571924,0.571924,0.571924,0.189215
24,kill_5,3075.882973998627,23809.52380952381,2234.290775421512,2123,206,1.053554,1.053554,1.053554,1.972985
25,kill_6,1112.5333246947164,105894.1058941059,1092.3103003267402,955,194,0,0,0,1.888733
26,kill_7,2273.1959658061273,63770.470952334115,3747.9452673872015,3309,920,0.557101,0.557101,0.557101,1.872385
27,kill_8,1426.219651142002,35769.35789150783,2369.063753882624,1889,689,1.089963,1.089963,1.089963,1.004648
28,kill_9,5689.162541757533,570021.9294027204,6547.905888227856,6219,886,0.777959,0.777959,0.777959,1.9014820000000001
