,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,1179.9538238826317,11045.36101718726,1865.7171467081703,1445,707,1.53098,1.53098,1.53098,1.801013
1,death_10,1491.61656826538,6274.360436842023,1810.381940978676,1647,267,1.7972000000000001,1.7972000000000001,1.7972000000000001,1.7721740000000001
2,death_11,1183.9657816742958,7153.871578301566,1144.3867774915411,551,827,0.505734,0.505734,0.505734,0.410245
3,death_12,8476.260142665797,68790.33948924007,9792.45566746568,9483,1130,0.0,0.0,0.0,1.31013
4,death_13,1501.7545824821195,18002.75375375232,1740.0490633216123,1412,573,0.890829,0.890829,0.890829,1.026755
5,death_14,2616.3364917178537,20119.871113355133,3904.178617410235,3540,897,0.0,0.0,0.0,1.918562
6,death_15,1121.3464301160877,11697.6202505735,1973.3819105058128,1434,854,0.782845,0.782845,0.782845,1.490339
7,death_16,2801.481868641914,52871.46763901549,4620.530821253085,4103,1007,1.2578420000000001,1.2578420000000001,1.2578420000000001,1.179119
8,death_17,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
9,death_18,78.60327570889986,1002.0040080160321,31.0,17,14,1.834624,1.834624,1.834624,1.01282
10,death_2,3141.8695215434045,127967.89734759848,4910.187079295583,4523,971,1.6464050000000001,1.6464050000000001,1.6464050000000001,1.802001
11,death_3,951.9487204654,7000.0,1460.261766370206,1329,227,0.0,0.0,0.0,0.0
12,death_4,0.7058961386775319,0.7058961386775319,1.0,1,0,0.0,0.0,0.0,0.0
13,death_5,2489.904066971533,10037.439987387372,2100.007424943804,373,1955,0.0,0.0,0.0,0.093776
14,death_6,1300.10767656449,5109.237989571929,1359.496605963675,1312,152,0.0,0.0,0.0,1.424056
15,death_7,1388.9061455622696,7905.138339920948,2136.030870743335,1413,1139,0.740518,0.740518,0.740518,1.176934
16,death_9,2115.73790072078,24349.048970183034,2951.6596824709377,2647,763,0.722811,0.722811,0.722811,0.969556
