,target_num,Mouse_Acceleration_Mean,Mouse_Acceleration_Max,Mouse_Total_Distance,Mouse_X_Distance,Mouse_Y_Distance,Mouse-Keybord_mean,Mouse-Keybord_max,Mouse-Keybord_min,key_press_time
0,death_1,886.1946681467105,10080.115969027973,1055.592247065401,826,352,1.528442,1.528442,1.528442,1.996689
1,death_10,2072.5041565263436,19049.86542270108,2732.5312820105783,1728,1539,0.0,0.0,0.0,0.69222
2,death_11,1522.481387715372,10077.113663226846,2356.555889980953,1817,962,0.804291,0.804291,0.804291,1.756793
3,death_12,2038.3525359745354,17857.14285714286,2596.3194053636767,1065,2013,1.12703,1.12703,1.12703,1.971875
4,death_13,862.3620106559423,3174.9775704501803,786.7962048349726,222,639,0.547381,0.547381,0.547381,0.0
5,death_14,1343.9532335286228,31056.49968749708,1938.439593971341,1459,777,0.0,0.0,0.0,1.5143119999999999
6,death_2,1684.0182208771978,23092.36947791165,1995.079422919999,1393,787,0.0,0.0,0.0,0.032478
7,death_3,1523.722915035248,14077.90255528405,2577.7304977790855,2286,654,0.74433,0.74433,0.74433,1.771882
8,death_4,2096.605458239991,15193.520030543732,2506.3659660384687,2412,227,0.0,0.0,0.0,1.8556270000000001
9,death_5,208.88921328901137,1394.6879313344134,25.242640687119284,13,14,0.0,0.0,0.0,0.0
10,death_6,1000.3422102078099,14108.740095504882,1765.3737890658565,1437,658,1.773799,1.773799,1.773799,1.823914
11,death_7,551.717793705735,2209.553337450385,457.90416342539265,284,209,0.041283,0.041283,0.041283,1.088268
12,death_8,2196.035860771564,41172.268308473,3590.771066660435,3271,629,1.612222,1.612222,1.612222,1.695603
13,death_9,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.525521
14,kill_1,2157.8035845292247,43912.17564870259,2793.2753957458126,2301,811,1.637746,1.637746,1.637746,1.97322
15,kill_10,1898.1450375999987,14085.792453915292,2809.410603087283,2367,962,0.762526,0.762526,0.762526,1.657543
16,kill_11,2667.081359432755,52248.85606294093,4352.558573246238,3383,1606,0.413723,0.413723,0.413723,1.988833
17,kill_12,2529.1720417484566,24044.86916809672,4435.581469288841,2429,2706,0.707699,0.707699,0.707699,1.8466360000000002
18,kill_13,808.9302973608914,5015.045135406218,980.3135364344027,551,479,1.3059370000000001,1.3059370000000001,1.3059370000000001,1.829663
19,kill_14,1360.0130059302242,7316.693356060822,2058.2744814650487,1045,1263,0.0,0.0,0.0,1.043084
20,kill_15,3275.55696141674,41666.666666666664,4909.667406411192,4506,859,0.0,0.0,0.0,1.502195
21,kill_16,1730.090089246985,13656.094888288599,2673.1421207640856,2472,604,0.0,0.0,0.0,1.551936
22,kill_17,2316.361480364266,19162.460556211434,3513.8796906738553,3162,849,1.018366,1.018366,1.018366,1.998341
23,kill_18,3850.0278096989514,57768.92430278885,6528.143221439793,6103,1273,0.0,0.0,0.0,1.9723380000000001
24,kill_2,1329.2400072344976,27729.6776935901,159.9805719529287,117,74,0.0,0.0,0.0,0.048885
25,kill_3,3270.346225633763,72557.14891236438,5224.720012957657,4712,1100,0.0,0.0,0.0,1.024664
26,kill_4,1348.1596303774543,15856.794799091394,2390.5474978270504,1979,695,0.0,0.0,0.0,1.812378
27,kill_5,1832.7020607324719,31746.031746031746,3153.118558989537,2654,923,0.542219,0.542219,0.542219,1.6177730000000001
28,kill_6,1004.3353472468115,6343.586078572476,1668.2449252811482,1386,492,1.380109,1.380109,1.380109,1.762364
29,kill_7,1501.7959064349852,18867.924528301886,2381.856823505604,2211,476,0.680023,0.680023,0.680023,1.888713
30,kill_8,1064.5283906103687,12512.030798845044,1821.4046547909588,1249,928,1.035325,1.035325,1.035325,1.985677
31,kill_9,5004.918264015783,75615.1421034648,7982.720876766645,6877,2327,1.287209,1.287209,1.287209,1.970864
