kill,2023-03-18 20:15:08.913657

death,2023-03-18 20:15:30.831038

kill,2023-03-18 20:17:05.970226

kill,2023-03-18 20:20:46.724269

death,2023-03-18 20:20:58.967082

kill,2023-03-18 20:21:59.941507

death,2023-03-18 20:23:29.861173

death,2023-03-18 20:25:05.847917

kill,2023-03-18 20:26:18.160698

death,2023-03-18 20:26:26.241842

kill,2023-03-18 20:27:58.067571

kill,2023-03-18 20:28:24.984272

death,2023-03-18 20:28:40.561730

death,2023-03-18 20:31:21.553447

death,2023-03-18 20:32:45.551941

kill,2023-03-18 20:34:07.844235

death,2023-03-18 20:34:45.941864

kill,2023-03-18 20:35:54.240711

death,2023-03-18 20:36:06.503280

death,2023-03-18 20:38:22.988609

death,2023-03-18 20:39:50.959480

kill,2023-03-18 20:42:27.273129

kill,2023-03-18 20:42:33.204871

kill,2023-03-18 20:42:38.943945

death,2023-03-18 20:42:46.876409

death,2023-03-18 20:44:52.864010

death,2023-03-18 20:46:07.176479

death,2023-03-18 20:47:46.645531

kill,2023-03-18 20:48:50.816706

death,2023-03-18 20:49:46.896625

