death,2023-03-12 23:06:15.216998

death,2023-03-12 23:07:45.526672

kill,2023-03-12 23:09:48.010269

death,2023-03-12 23:10:42.424580

death,2023-03-12 23:12:51.231588

kill,2023-03-12 23:13:50.732894

death,2023-03-12 23:14:03.468247

kill,2023-03-12 23:16:10.788031

kill,2023-03-12 23:16:17.390212

death,2023-03-12 23:16:59.122837

death,2023-03-12 23:18:30.104435

kill,2023-03-12 23:19:41.762597

kill,2023-03-12 23:21:43.007011

kill,2023-03-12 23:23:07.263977

death,2023-03-12 23:23:27.500202

death,2023-03-12 23:24:47.498130

death,2023-03-12 23:26:38.984162

kill,2023-03-12 23:28:45.625284

kill,2023-03-12 23:28:51.373165

kill,2023-03-12 23:28:57.138961

kill,2023-03-12 23:30:28.055173

kill,2023-03-12 23:32:02.139077

death,2023-03-12 23:32:25.546304

death,2023-03-12 23:33:43.516030

kill,2023-03-12 23:37:07.855122

kill,2023-03-12 23:37:13.604024

kill,2023-03-12 23:38:02.825968

kill,2023-03-12 23:39:13.245736

kill,2023-03-12 23:40:35.345081

death,2023-03-12 23:41:26.914805

